,name,score
155,B14_to_A5_intTarget_0.0_mean/A25_intTarget_0.0_mean,0.001036354
156,A6_intTarget_0.0_mean/A5_intTarget_0.0_mean,0.0010300732
157,B14_to_A5_intTarget_0.0_mean/A5_intTarget_0.0_mean,0.0010300732
158,A10_intTarget_0.0_mean/B5_intTarget_0.0_mean,0.0010237922
159,样本id_cut_intTarget_2.0_mean*B5_intTarget_0.0_mean,0.0010175112
160,样本id*A15_intTarget_1.0_mean,0.0010175112
161,样本id_cut_intTarget_0.0_mean*B14_to_A5_intTarget_0.0_mean,0.0010175112
162,A10_intTarget_1.0_mean/A5_intTarget_2.0_mean,0.0010175112
163,A6_intTarget_1.0_mean*A17_intTarget_1.0_mean,0.0010112303
164,样本id_cut_intTarget_2.0_mean*B14_to_A5_intTarget_0.0_mean,0.0010049493
165,样本id_cut_intTarget_2.0_mean/A20_2_A20_1_A17chengji_intTarget_1.0_mean,0.0009986685
166,样本id_cut_intTarget_2.0_mean*B7_intTarget_0.0_mean,0.0009986685
167,样本id_cut_intTarget_2.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_0.0_mean,0.0009986685
168,A10_intTarget_1.0_mean/yb_cut_mean_intTarget_3.0_mean,0.0009986685
169,样本id*yb_cut_mean_intTarget_1.0_mean,0.0009986685
170,A10_intTarget_0.0_mean/A5_intTarget_1.0_mean,0.0009923875
171,b14/a1_a3_a4_a19_b1_b12/A15_intTarget_0.0_mean,0.0009923875
172,样本id_cut_intTarget_0.0_mean*B7_intTarget_4.0_mean,0.0009861066
173,样本id_cut_intTarget_1.0_mean/A10_intTarget_1.0_mean,0.0009798256
174,B7_intTarget_1.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,0.0009798256
175,B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean/B7_intTarget_4.0_mean,0.0009798256
176,样本id_cut_intTarget_1.0_mean*A25_intTarget_0.0_mean,0.0009735447
177,样本id_cut_intTarget_2.0_mean*B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean,0.00096726377
178,B14_to_A5_intTarget_0.0_mean/B7_intTarget_0.0_mean,0.00096726377
179,A10_intTarget_0.0_mean/yb_cut_mean_intTarget_3.0_mean,0.0009609828
180,样本id_cut_intTarget_2.0_mean*A25_intTarget_0.0_mean,0.0009609828
181,A25_intTarget_0.0_mean/A27_intTarget_1.0_mean,0.0009547019
182,A6_intTarget_1.0_mean*A12_intTarget_0.0_mean,0.0009547019
183,A10_intTarget_1.0_mean/B7_intTarget_4.0_mean,0.00094842096
184,B14_to_A5_intTarget_0.0_mean*A25_intTarget_0.0_mean,0.00094214006
185,样本id_cut_intTarget_3.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean,0.0009358591
186,A25_intTarget_0.0_mean/A17_intTarget_1.0_mean,0.00092329725
187,A12_intTarget_0.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_2.0_mean,0.00092329725
188,A25_intTarget_0.0_mean/B5_intTarget_0.0_mean,0.00092329725
189,A6_intTarget_0.0_mean/A25_intTarget_0.0_mean,0.00092329725
190,样本id_cut_intTarget_2.0_mean/A5_intTarget_2.0_mean,0.00092329725
191,b14/a1_a3_a4_a19_b1_b12/A6_intTarget_1.0_mean,0.0009170163
192,A6_intTarget_1.0_mean/B7_intTarget_4.0_mean,0.0009170163
193,样本id_cut_intTarget_3.0_mean/A10_intTarget_0.0_mean,0.0009170163
194,A24_intTarget_1.0_mean,0.0009170163
195,样本id_cut_intTarget_1.0_mean/B7_intTarget_1.0_mean,0.0009107354
196,A6_intTarget_1.0_mean/A15_intTarget_1.0_mean,0.0009107354
197,A25_intTarget_0.0_mean/A6_intTarget_1.0_mean,0.00090445444
198,A10_intTarget_1.0_mean/B7_intTarget_0.0_mean,0.00090445444
199,A6_intTarget_0.0_mean/B7_intTarget_1.0_mean,0.00090445444
200,A20_2_A20_1_A17chengji_intTarget_1.0_mean/B5_intTarget_1.0_mean,0.00090445444
201,A25_intTarget_0.0_mean*B7_intTarget_1.0_mean,0.0008981735
202,样本id_cut_intTarget_0.0_mean/B14_to_A5_intTarget_0.0_mean,0.0008981735
203,A20_2_A20_1_A17chengji_intTarget_1.0_mean*B5_intTarget_1.0_mean,0.0008918926
204,样本id_cut_intTarget_1.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean,0.0008918926
205,样本id_cut_91,0.00088561163
206,样本id_cut_intTarget_2.0_mean*A5_intTarget_2.0_mean,0.0008793307
207,样本id_cut_intTarget_1.0_mean/A12_intTarget_0.0_mean,0.0008793307
208,A25_intTarget_0.0_mean*A6_intTarget_1.0_mean,0.0008730498
209,A6_intTarget_1.0_mean/B7_intTarget_1.0_mean,0.0008730498
210,样本id_cut_intTarget_2.0_mean*A6_intTarget_0.0_mean,0.0008667688
211,A5_intTarget_2.0_mean/A15_intTarget_0.0_mean,0.0008667688
212,A12_intTarget_0.0_mean*B7_intTarget_1.0_mean,0.0008667688
213,B14_to_A5_intTarget_0.0_mean/yb_cut_mean_intTarget_3.0_mean,0.0008667688
214,A25_intTarget_0.0_mean*A12_intTarget_0.0_mean,0.0008667688
215,样本id_cut_intTarget_2.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,0.0008667688
216,b14/a1_a3_a4_a19_b1_b12*A15_intTarget_0.0_mean,0.0008667688
